Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Effective Zone Air Temperature Setpoint [C](TimeStep),EMS:IW Occp First Come Pred [](TimeStep),EMS:IW Occp Last Leave Pred [](TimeStep),EMS:IW Occp Mode [](TimeStep),EMS:IW Hot Water Supply Temperature Setpoint Action [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Average PMV [%](TimeStep),EMS:Setback Flag Sensor [](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Mass Flow Rate [kg/s](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  03:55:00,8.79166666666667,74.9166666666667,0.0,0.0,17.8182196244861,18.,12.,16.,0.0,17.8182196244861,11.4080417991937,-999.,1.,24.7411765523962,4.4390336730227,25.0524655688445,4.4390336730227 
 01/01  04:00:00,8.8,75.,0.0,0.0,17.8024750056377,18.,12.,16.,0.0,17.8024750056377,10.6942673954883,-999.,1.,24.2833706105337,4.4390336730227,24.5745791017216,4.4390336730227 
 01/01  04:05:00,8.8,75.0833333333333,0.0,0.0,17.7865054140491,18.,12.,16.,0.0,17.7865054140491,10.2443292133432,-999.,1.,23.8463866175455,4.4390336730227,24.1231546269171,4.4390336730227 
 01/01  04:10:00,8.8,75.1666666666667,0.0,0.0,17.7705455423319,18.,12.,16.,0.0,17.7705455423319,9.7053782062348,-999.,1.,23.430794626993,4.4390336730227,23.6939765085984,4.4390336730227 
 01/01  04:15:00,8.8,75.25,0.0,0.0,17.7548694336608,18.,12.,16.,0.0,17.7548694336608,9.2076890452229,-999.,1.,23.0374628818639,4.4390336730227,23.2867980344661,4.4390336730227 
 01/01  04:20:00,8.8,75.3333333333333,0.0,0.0,17.7395444338119,18.,12.,16.,0.0,17.7395444338119,8.74459126145948,-999.,1.,22.6641223238819,4.4390336730227,22.900689972568,4.4390336730227 
 01/01  04:25:00,8.8,75.4166666666667,0.0,0.0,17.724654679447,18.,12.,16.,0.0,17.724654679447,9.43660569032505,-999.,1.,22.2689209917637,4.4390336730227,22.513815400839,4.4390336730227 
 01/01  04:30:00,8.8,75.5,0.0,0.0,17.69629029944,18.,12.,16.,0.0,33.5370970055999,10.119023126658,-999.,1.,21.8387237317018,4.4390336730227,22.1027557671733,4.4390336730227 
 01/01  04:35:00,8.8,75.5833333333333,0.0,0.0,17.6657817276258,18.,12.,16.,0.0,33.8421827237424,37.8626864514054,-999.,1.,33.5370970055999,4.4390336730227,27.7550838768904,4.4390336730227 
 01/01  04:40:00,8.8,75.6666666666667,0.0,0.0,17.6639238741338,18.,12.,16.,0.0,33.8607612586616,51.8246825081793,-999.,1.,33.8421827237424,4.4390336730227,32.5226331723318,4.4390336730227 
