time_in_sec,c
1116,-4.288888889
1117,-4.288888889
1118,-4.35
1119,-4.316666667
1120,-4.316666667
1121,-4.377777778
1122,-4.588888889
1123,-4.405555556
1124,-4.288888889
1125,-4.316666667
1126,-4.405555556
1127,-4.622222222
1128,-4.5
1129,-4.405555556
1130,-4.588888889
1131,-4.5
1132,-4.744444444
1133,-4.683333333
1134,-4.588888889
1135,-4.622222222
1136,-5.016666667
1137,-4.744444444
1138,-4.683333333
1139,-4.772222222
1140,-4.744444444
1141,-4.866666667
1142,-4.894444444
1143,-4.833333333
1144,-5.016666667
1145,-5.077777778
1146,-4.927777778
1147,-4.927777778
1148,-5.05
1149,-5.016666667
1150,-4.988888889
1151,-5.077777778
1152,-5.077777778
1153,-5.138888889
1154,-5.111111111
1155,-5.172222222
1156,-5.138888889
1157,-5.2
1158,-5.294444444
1159,-5.327777778
1160,-5.233333333
1161,-5.172222222
1162,-5.477777778
1163,-5.233333333
1164,-5.327777778
1165,-5.266666667
1166,-5.138888889
1167,-5.294444444
1168,-5.388888889
1169,-5.416666667
1170,-5.477777778
1171,-5.511111111
1172,-5.511111111
1173,-5.477777778
1174,-5.544444444
1175,-5.544444444
1176,-5.45
1177,-5.477777778
1178,-5.355555556
1179,-5.355555556
1180,-5.355555556
1181,-5.477777778
1182,-5.633333333
1183,-5.605555556
1184,-5.666666667
1185,-5.7
1186,-5.544444444
1187,-5.666666667
1188,-5.605555556
1189,-5.666666667
1190,-5.666666667
1191,-5.633333333
1192,-5.788888889
1193,-5.761111111
1194,-5.761111111
1195,-5.7
1196,-5.666666667
1197,-5.788888889
1198,-5.666666667
1199,-5.605555556
1200,-5.822222222
1201,-5.855555556
1202,-5.977777778
1203,-5.95
1204,-5.977777778
1205,-6.072222222
1206,-6.105555556
1207,-6.166666667
1208,-6.011111111
1209,-5.95
1210,-6.133333333
1211,-6.105555556
1212,-6.2
1213,-6.133333333
1214,-6.2
1215,-6.294444444
1216,-6.261111111
1217,-6.166666667
1218,-6.233333333
1219,-6.294444444
1220,-6.355555556
1221,-6.166666667
1222,-6.233333333
1223,-6.133333333
1224,-6.327777778
1225,-6.355555556
1226,-6.2
1227,-6.422222222
1228,-6.355555556
1229,-6.261111111
1230,-6.327777778
1231,-6.233333333
1232,-6.355555556
1233,-6.45
1234,-6.483333333
1235,-6.516666667
1236,-6.294444444
1237,-6.355555556
1238,-6.166666667
1239,-6.233333333
1240,-6.327777778
1241,-6.044444444
1242,-6.388888889
1243,-6.483333333
1244,-6.261111111
1245,-6.044444444
1246,-6.294444444
1247,-6.072222222
1248,-6.105555556
1249,-6.011111111
1250,-5.916666667
1251,-5.788888889
1252,-6.166666667
1253,-6.166666667
1254,-6.011111111
1255,-5.666666667
1256,-5.761111111
1257,-5.977777778
1258,-5.605555556
1259,-5.666666667
1260,-5.572222222
1261,-6.072222222
1262,-5.855555556
1263,-6.133333333
1264,-5.511111111
1265,-5.633333333
1266,-5.233333333
1267,-5.572222222
1268,-5.822222222
1269,-5.172222222
1270,-5.7
1271,-6.044444444
1272,-5.727777778
1273,-5.855555556
1274,-5.327777778
1275,-5.605555556
1276,-5.822222222
1277,-5.605555556
1278,-5.2
1279,-5.45
1280,-4.561111111
1281,-5.7
1282,-5.233333333
1283,-4.988888889
1284,-5.172222222
1285,-4.988888889
1286,-4.833333333
1287,-4.5
1288,-4.772222222
1289,-5.294444444
1290,-5.416666667
1291,-5.077777778
1292,-5.111111111
1293,-5.511111111
1294,-5.477777778
1295,-5.111111111
1296,-5.172222222
1297,-5.016666667
1298,-5.511111111
1299,-5.544444444
1300,-5.266666667
1301,-5.388888889
1302,-5.016666667
1303,-5.388888889
1304,-5.111111111
1305,-5.266666667
1306,-5.727777778
1307,-5.2
1308,-5.416666667
1309,-4.988888889
1310,-5.327777778
1311,-5.294444444
1312,-5.172222222
1313,-5.233333333
1314,-5.111111111
1315,-5.388888889
1316,-5.294444444
1317,-5.266666667
1318,-5.172222222
1319,-5.266666667
1320,-4.744444444
1321,-5.05
1322,-4.955555556
1323,-5.266666667
1324,-5.355555556
1325,-5.355555556
1326,-5.266666667
1327,-5.172222222
1328,-5.388888889
1329,-5.388888889
1330,-5.416666667
1331,-5.388888889
1332,-5.511111111
1333,-5.327777778
1334,-5.138888889
1335,-5.416666667
1336,-5.327777778
1337,-5.172222222
1338,-5.111111111
1339,-5.233333333
1340,-4.955555556
1341,-4.805555556
1342,-4.894444444
1343,-4.65
1344,-5.077777778
1345,-5.111111111
1346,-4.805555556
1347,-5.233333333
1348,-4.927777778
1349,-5.327777778
1350,-5.111111111
1351,-5.355555556
1352,-5.45
1353,-5.477777778
1354,-5.511111111
1355,-5.294444444
1356,-5.2
1357,-5.388888889
1358,-5.138888889
1359,-5.2
1360,-5.172222222
1361,-5.327777778
1362,-5.2
1363,-5.233333333
1364,-5.477777778
1365,-5.477777778
1366,-5.266666667
1367,-5.077777778
1368,-4.927777778
1369,-4.988888889
1370,-5.355555556
1371,-5.327777778
1372,-5.388888889
1373,-5.111111111
1374,-5.266666667
1375,-5.572222222
1376,-5.355555556
1377,-5.45
1378,-5.45
1379,-5.327777778
1380,-5.45
1381,-5.355555556
1382,-5.266666667
1383,-5.294444444
1384,-5.233333333
1385,-5.233333333
1386,-5.233333333
1387,-5.266666667
1388,-5.294444444
1389,-5.45
1390,-5.233333333
1391,-5.266666667
1392,-5.45
1393,-5.294444444
1394,-5.138888889
1395,-5.388888889
1396,-5.233333333
1397,-5.233333333
1398,-5.172222222
1399,-4.988888889
1400,-4.744444444
1401,-5.05
1402,-5.05
1403,-4.988888889
1404,-5.266666667
1405,-5.172222222
1406,-4.833333333
1407,-4.955555556
1408,-5.0777785
1409,-5.2
1410,-5.477777778
1411,-5.327777778
1412,-5.294444444
1413,-5.544444444
1414,-5.477777778
1415,-5.503333333
1416,-5.528888889
1417,-5.554445056
1418,-5.58
1419,-5.605555556
1420,-5.727777778
1421,-6.011111111
1422,-6.072222222
1423,-6.125925889
1424,-6.179629444
1425,-6.233333333
1426,-6.422222222
1427,-6.483333333
1428,-6.516666667
1429,-6.644444444
1430,-6.672222222
1431,-6.644444444
1432,-6.772222222
1433,-6.866666667
1434,-6.994444444
1435,-7.088888889
1436,-7.155555556
1437,-7.25
1438,-7.088888889
1439,-7.25
1440,-7.216666667
1441,-7.216666667
1442,-7.216666667
1443,-7.283333333
1444,-7.35
1445,-7.444444444
1446,-7.477777778
1447,-7.411111111
1448,-7.35
1449,-7.383333333
1450,-7.35
1451,-7.283333333
1452,-7.25
1453,-7.477777778
1454,-7.411111111
1455,-7.35
1456,-7.35
1457,-7.444444444
1458,-7.444444444
1459,-7.477777778
1460,-7.477777778
1461,-7.638888889
1462,-7.738888889
1463,-7.933333333
1464,-7.866666667
1465,-8.033333333
1466,-8
1467,-8.2
1468,-8.2
1469,-8.233333333
1470,-8.2
1471,-8.2
1472,-8.233333333
1473,-8.361111111
1474,-8.361111111
1475,-8.394444444
1476,-8.594444444
1477,-8.527777778
1478,-8.594444444
1479,-8.627777778
1480,-8.727777778
1481,-8.933333333
1482,-8.9
1483,-9.033333333
1484,-8.966666667
1485,-8.966666667
1486,-9.033333333
1487,-9
1488,-9
1489,-9.2
1490,-9.166666667
1491,-9.438888889
1492,-9.405555556
1493,-9.577777778
1494,-9.85
1495,-9.883333333
1496,-9.883333333
1497,-9.988888889
1498,-10.09444444
1499,-10.37222222
1500,-10.3
1501,-10.40555556
1502,-10.40555556
1503,-10.37222222
1504,-10.51111111
1505,-10.51111111
1506,-10.54444444
1507,-10.61666667
1508,-10.72222222
1509,-10.86111111
1510,-10.9
1511,-10.79444444
1512,-10.82777778
1513,-11.00555556
1514,-11.00555556
1515,-10.96666667
1516,-11.00555556
1517,-11.21666667
1518,-11.00555556
1519,-11.28888889
1520,-11.28888889
1521,-11.25555556
1522,-11.36111111
1523,-11.21666667
1524,-11.36111111
1525,-11.21666667
1526,-11.4
1527,-11.57777778
1528,-11.61111111
1529,-11.61111111
